id,name,description,price,stock
374874,"GIGABYTE GeForce RTX 4060 Ti GAMING OC, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, základní frekvence 2580 MHz, 8 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 4 352 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2,5-slotový design.",11 989 Kč,"skladem
2 kusy"
371945,"GIGABYTE GeForce RTX 4070 AERO OC 12G, 12GB GDDR6X","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, základní frekvenci 2565 MHz, 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 5 888 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 2,5-slotový design.",16 999 Kč,"skladem
2 kusy"
394503,"MSI GeForce RTX 4060 GAMING X NV EDITION 8G V1, 8GB GDDR6","Grafická karta v podání MSI, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2610 MHz (extrémní režim), 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design, limitovaná edice.",8 099 Kč,"skladem
5 a více kusů"
392671,"Sapphire PULSE AMD RADEON RX 7600 XT 16GB, 16GB GDDR6","Grafická karta společnosti Sapphire, PCIe 4.0 x8, frekvence až 2539 MHz a až 2810 MHz boost, 16 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 2x HDMI 2.1, 2x DisplayPort 2.1, DirectX 12 Ultimate, AMD FreeSync, AMD Radeon Anti-Lag, raytracing.",9 199 Kč,"skladem
5 a více kusů"
393379,"ASUS ROG Strix GeForce RTX 4070 SUPER, 12GB GDDR6X","Grafická karta v podání ASUS, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2505 MHz (režim OC), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 168 CUDA jader, konektory: 2x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 3,12-slot design, součástí držák karty.",21 990 Kč,"skladem
2 kusy"
375657,"MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC, 8GB GDDR6","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16 (x8), architektura NVIDIA Ada Lovelace, frekvence až 2550 MHz (extrémní režim), 8 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 4 352 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",9 990 Kč,"skladem
5 a více kusů"
387873,"MSI GeForce RTX 4070 Ti VENTUS 3X E1 12G OC, 12GB GDDR6X","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2655 MHz (režim Extreme), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 680 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 2,5-slotový design.",19 990 Kč,"skladem
5 a více kusů"
391041,"PALiT GeForce RTX 4070 Super Dual, 12GB GDDR6X","Grafická karta v podání PALiT, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2475 MHz (boost), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 168 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",15 999 Kč,"skladem
5 a více kusů"
364662,"Sapphire AMD Radeon™ PULSE RX 7900 XTX, 24GB GDDR6","Grafická karta společnosti Sapphire, PCIe 4.0 x16, frekvence až 2330 MHz a až 2525 MHz boost, 24 GB GDDR6 paměti, rychlost paměti 20 Gb/s, 384-bit sběrnice, 2x HDMI 2.1, 2x DisplayPort 2.1, DirectX 12 Ultimate, AMD FreeSync, AMD Radeon Anti-Lag, raytracing.",26 790 Kč,"skladem
5 a více kusů"
328281,"ASUS GeForce GT730-SL-2GD5-BRK, 2GB GDDR5","Grafická karta s pasivním chladičem, PCIe rozhraní, frekvence 902 MHz, 2 GB GDDR5 paměti, 64-bit sběrnice, 1x HDMI, 1x DVI-D, 1x VGA, rozlišení max. 3840 x 2160, OpenGL 4.4.",1 999 Kč,"skladem
2 kusy"
379622,"MSI GeForce RTX 4060 Ti GAMING X 16G, 16GB GDDR6","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16 (x8), architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2655 MHz (extrémní režim), 16 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 4 352 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",13 894 Kč,"skladem
4 kusy"
324453,"GIGABYTE GeForce RTX 3070 EAGLE OC 8G ver. 2.0 LHR, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0, architektura Ampere, 8 GB GDDR6 paměti, rychlost paměti 14 Gb/s, 256-bit sběrnice, konektory: 2x HDMI 2.1, 2x DisplayPort 1.4; napájení 1x 8-pin a 1x 6-pin; max. rozlišení 7680x4320 @ 60 Hz, OpenGL 4.6, DirectX 12 Ultimate; verze s omezeným výkonem pro těžbu kryptoměn.",13 290 Kč,"skladem
1 kus"
391355,"MSI GeForce RTX 4070 SUPER 12G VENTUS 2X WHITE OC, 12GB GDDR6X","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, frekvence až 2520 MHz (extrémní režim), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 168 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",16 990 Kč,"skladem
5 a více kusů"
386972,"MSI GeForce RTX 4070 Ti GAMING X SLIM WHITE 12G, 12GB GDDR6X","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2745 MHz (Extreme režim), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 680 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 2,5-slotový design.",22 490 Kč,"skladem
1 kus"
369093,"PALiT GeForce RTX 4070 Ti GameRock, 12GB GDDR6X","Grafická karta v podání PALiT, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2610 MHz (boost), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 680 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin nebo 2x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 3,5-slot design.",20 999 Kč,"skladem
1 kus"
362448,"GIGABYTE GeForce RTX 4080 16GB EAGLE, 16GB GDDR6X","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, základní frekvence 2505 MHz, 16 GB GDDR6X paměti, rychlost paměti 22,4 Gb/s, 256-bit sběrnice, 9 728 CUDA jader, konektory: 1x HDMI 2.1, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 4-slotový design.",32 989 Kč,"skladem
1 kus"
388584,"MSI GeForce RTX 4060 GAMING X NV EDITION 8G, 8GB GDDR6","Grafická karta v podání MSI, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, frekvence až 2610 MHz (extrémní režim), 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design, limitovaná edice.",8 199 Kč,"skladem
5 a více kusů"
310901,"MSI GeForce RTX 3060 VENTUS 2X 12G OC, LHR, 12GB GDDR6","Výkonná herní grafická karta v podání MSI, rozhraní PCIe 4.0, architektura Ampere, frekvence až 1807 MHz, 12 GB GDDR6 paměti, rychlost paměti 15 Gb/s, 192-bit sběrnice, konektory: 1x HDMI 2.1, 3x DisplayPort 1.4a; napájení 1x 8-pin, max. rozlišení 7680x4320, OpenGL 4.6, DirectX 12.",8 159 Kč,"skladem
5 a více kusů"
378227,"MSI GeForce RTX 4060 VENTUS 2X BLACK 8G OC, 8GB GDDR6","Grafická karta v podání MSI, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, frekvence až 2505 MHz (extrémní režim), 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",8 099 Kč,"skladem
5 a více kusů"
331124,"ASRock AMD Radeon™ RX 6600 Challenger D 8GB, 8GB GDDR6","Grafická karta společnosti ASRock, PCIe 4.0 x16, frekvence až 2044 MHz a až 2491 MHz boost, 8 GB GDDR6 paměti, rychlost paměti 14 Gb/s, 128-bit sběrnice, 1x HDMI 2.1, 3x DisplayPort 1.4, OpenGL 4.6, DirectX 12 Ultimate, AMD FreeSync, AMD Radeon Anti-Lag, DirectX Raytracing.",5 499 Kč,"skladem
5 a více kusů"
320677,"ASUS GeForce DUAL-RTX3060-O12G-V2, LHR, 12GB GDDR6","Grafická karta v podání ASUS, rozhraní PCIe 4.0, architektura Ampere, frekvence až 1867 MHz (OC Boost), 12 GB GDDR6 paměti, rychlost paměti 15 Gb/s, 192-bit sběrnice, konektory: 1x HDMI 2.1, 3x DisplayPort 1.4a; napájení 1x 8-pin, max. rozlišení 7680x4320, OpenGL 4.6, DirectX 12, 2-slotový design.",7 490 Kč,"skladem
5 a více kusů"
329699,"Sapphire AMD Radeon™ PULSE RX 6600, 8GB GDDR6","Výkonná herní grafická karta s GPU AMD Radeon RX 6600, 8 GB GDDR6 paměti (rychlost paměti 14 Gb/s, 128 bit. sběrnice) s pokročilou architekturou AMD RDNA 2 se 1792 steam procesory a kmitočtem až 2491 MHz (boost) / až 2044 MHz (game), Infinity Cache 32 MB. Podporuje DirectX 12 Ultimate, AMD FreeSync, AMD Radeon Anti-Lag, Hardware Raytracing. Rozhraní PCI-Express 4.0, 1x HDMI, 3x DisplayPort.",5 990 Kč,"skladem
5 a více kusů"
382938,"Sapphire PULSE AMD Radeon™ RX 7800 XT GAMING 16GB, 16GB GDDR6","Grafická karta společnosti Sapphire, PCIe 4.0 x16, frekvence až 2124 MHz a až 2430 MHz boost, 16 GB GDDR6 paměti, rychlost paměti 19,5 Gb/s, 256-bit sběrnice, 2x HDMI 2.1, 2x DisplayPort 2.1, DirectX 12 Ultimate, AMD FreeSync, AMD Radeon Anti-Lag, raytracing.",13 990 Kč,"skladem
5 a více kusů"
314204,"ASRock Radeon RX 6700 XT Challenger D 12GB, 12GB GDDR6","Vysoce výkonná herní grafická karta společnosti ASRock, PCIe 4.0 x16, frekvence až 2424 MHz a až 2581 MHz boost, 12 GB GDDR6 paměti, rychlost paměti 16 Gb/s, 192-bit sběrnice, 1x HDMI 2.1, 3x DisplayPort 1.4, OpenGL 4.6, DirectX 12, AMD FreeSync, AMD Radeon Anti-Lag, DirectX Raytracing.",9 089 Kč,"skladem
5 a více kusů"
391353,"MSI GeForce RTX 4070 SUPER 12G VENTUS 2X OC, 12GB GDDR6X","Grafická karta v podání MSI, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, frekvence až 2520 MHz (extrémní režim), 12 GB GDDR6X paměti, rychlost paměti 21 Gb/s, 192-bit sběrnice, 7 168 CUDA jader, konektory: 1x HDMI 2.1a, 3x DisplayPort 1.4a; napájení 1x 16-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",16 499 Kč,"skladem
5 a více kusů"
382935,"Sapphire NITRO+ AMD Radeon™ RX 7800 XT 16GB, 16GB GDDR6","Grafická karta společnosti Sapphire, PCIe 4.0 x16, frekvence až 2254 MHz a až 2565 MHz boost, 16 GB GDDR6 paměti, rychlost paměti 19,5 Gb/s, 256-bit sběrnice, 2x HDMI 2.1, 2x DisplayPort 2.1, DirectX 12 Ultimate, AMD FreeSync, AMD Radeon Anti-Lag, raytracing.",15 490 Kč,"skladem
3 kusy"
389938,"MSI GeForce GTX 1650 D6 VENTUS XS OCV3, 4GB GDDR6","Výkonná herní grafická karta v podání MSI, rozhraní PCIe 3.0 , architektura Turing, frekvence až 1620 MHz (boost), 4 GB GDDR6 paměti, 128-bit sběrnice, 1x HDMI 2.0b, 1x DisplayPort 1.4a, 1x DVI-D, OpenGL 4.6, DirectX 12, NVIDIA: Ansel a G-Sync.",3 999 Kč,"skladem
5 a více kusů"
